Matnr,Spras,Maktx
000000000010001180,EN,Soft Starter Power Module 6/4 SEW
000000000010001181,EN,Slurry Pump Mechanical Seal 6/4 KSB
000000000010001182,EN,Conveyor Drive Gearbox DN150 METSO
000000000010001183,EN,Vertical Sump Pump Column TYPE B SANDVIK
000000000010001184,EN,Gland Packing Seal Ring 8/6 FLSM
000000000030000285,EN,Cyclone Apex Liner HD FLSM
000000000010001185,EN,Flow Meter Sensor Head 10/8 SIEMENS
000000000030000286,EN,Slurry Pump Wet End Assembly TYPE A
000000000010001186,EN,PLC Digital Output Card TYPE B MULTOTEC
000000000010001187,EN,Ball Mill Shell Liner Plate HD
000000000030000287,EN,Conveyor Drive Motor 200MM SANDVIK
000000000010001188,EN,Hydraulic Pump Assembly TYPE B SANDVIK
000000000010001189,EN,Hydraulic Pump Assembly 250KW MULTOTEC
000000000010001190,EN,Conveyor Pulley Bearing 6/4 SANDVIK
000000000080000248,EN,PLC Digital Output Card 55KW METSO
000000000010001191,EN,Flotation Blower Motor DN150 SEW
000000000030000288,EN,Gland Packing Seal Ring 110KW ABB
000000000010001192,EN,Agitator Shaft Seal HD SANDVIK
000000000010001193,EN,Conveyor Drive Motor 110KW ABB
000000000010001194,EN,Apron Feeder Gear Reducer 110KW WEIR
000000000010001195,EN,Variable Speed Drive Unit 110KW SANDVIK
000000000010001196,EN,Ball Mill Gearbox Assembly TYPE B ABB
000000000010001197,EN,Soft Starter Power Module HD SEW
000000000010001198,EN,Skirt Rubber Liner Section 200MM SANDVIK
000000000010001199,EN,Pressure Transmitter Assembly HD ABB
000000000080000249,EN,Hydraulic Power Pack 200MM SKF
000000000080000250,EN,Valve Assembly 55KW FLSM
000000000010001200,EN,Ball Mill Shell Liner Plate TYPE B
000000000010001201,EN,Spherical Roller Bearing 110KW ABB
000000000010001202,EN,Conveyor Drive Motor 110KW FLSM
000000000010001203,EN,Hydraulic Power Pack DN150 MULTOTEC
000000000010001204,EN,Cyclone Apex Liner 200MM MULTOTEC
000000000010001205,EN,Slurry Pump Mechanical Seal TYPE B WEIR
000000000010001206,EN,Gland Packing Seal Ring DN150 MULTOTEC
000000000010001207,EN,PLC Digital Output Card 200MM SKF
000000000010001208,EN,Ball Mill Shell Liner Plate 8/6 METSO
000000000010001209,EN,Pressure Transmitter Assembly 8/6
000000000010001210,EN,Ventilation Fan Motor 250KW SEW
000000000030000289,EN,Pump Impeller TYPE B SANDVIK
000000000090000075,EN,Agitator Shaft Seal HD SKF
000000000010001211,EN,Mill Liner 110KW FLSM
000000000030000290,EN,Conveyor Drive Motor 150MM FLSM
000000000010001212,EN,Slurry Pump Mechanical Seal TYPE B WEIR
000000000010001213,EN,PLC Digital Output Card 200MM KSB
000000000030000291,EN,Conveyor Drive Gearbox 8/6 ABB
000000000030000292,EN,Valve Assembly 8/6 SIEMENS
000000000010001214,EN,Flow Meter Sensor Head TYPE B FLSM
000000000010001215,EN,Vertical Sump Pump Column 8/6 SIEMENS
000000000010001216,EN,Screen Exciter Bearing DN150 FLSM
000000000010001217,EN,PLC Digital Output Card DN150 KSB
000000000030000293,EN,Thickener Rake Seal Kit 250MM SANDVIK
000000000010001218,EN,Conveyor Take-Up Pulley 200MM SKF
000000000080000251,EN,Gland Packing Seal Ring 250MM SANDVIK
000000000030000294,EN,Skirt Rubber Liner Section 200MM SANDVIK
000000000030000295,EN,PLC Digital Output Card 200MM ABB
000000000010001219,EN,Spherical Roller Bearing 200MM ABB
000000000010001220,EN,Hydraulic Power Pack DN100 SKF
000000000010001221,EN,Thickener Rake Drive Gearbox 10/8
000000000010001222,EN,Apron Feeder Gear Reducer TYPE A METSO
000000000010001223,EN,Slurry Density Transmitter 200MM
000000000080000252,EN,Cyclone Apex Liner DN150 FLSM
000000000010001224,EN,Belt Scraper Blade Cartridge 150MM
000000000010001225,EN,Apron Feeder Gear Reducer DN100 SANDVIK
000000000010001226,EN,Ventilation Fan Motor 250MM METSO
000000000010001227,EN,Centrifugal Pump Casing TYPE A SIEMENS
000000000080000253,EN,Ball Mill Gearbox Assembly 10/8 METSO
000000000080000254,EN,Crusher Hydroset Cylinder DN150 KSB
000000000030000296,EN,Slurry Pump Wet End Assembly 8/6
000000000010001228,EN,Centrifugal Pump Casing 8/6 SANDVIK
000000000010001229,EN,Slurry Pump Wet End Assembly 10/8 ABB
000000000010001230,EN,MCC Feeder Circuit Breaker 110KW
000000000030000297,EN,Ball Mill Shell Liner Plate 150MM SKF
000000000080000255,EN,Conveyor Take-Up Pulley 250MM KSB
000000000010001231,EN,Flow Meter Sensor Head DN100 METSO
000000000030000298,EN,Ball Mill Gearbox Assembly 110KW SIEMENS
000000000030000299,EN,Screen Exciter Bearing 8/6 KSB
000000000080000256,EN,Skirt Rubber Liner Section HD ABB
000000000010001232,EN,Centrifugal Pump Casing 10/8 FLSM
000000000080000257,EN,Pump Impeller TYPE A METSO
000000000010001233,EN,Pump Impeller DN100 SANDVIK
000000000010001234,EN,Thickener Rake Seal Kit HD ABB
000000000010001235,EN,Skirt Rubber Liner Section HD WEIR
000000000010001236,EN,Ball Mill Shell Liner Plate 250MM SEW
000000000010001237,EN,Centrifugal Pump Casing 6/4 WEIR
000000000010001238,EN,Slurry Pump Wet End Assembly 200MM ABB
000000000090000076,EN,Level Radar Transmitter TYPE B SEW
000000000010001239,EN,Conveyor Drive Motor HD METSO
000000000010001240,EN,Conveyor Take-Up Pulley 10/8 ABB
000000000030000300,EN,Screen Exciter Bearing TYPE A SANDVIK
000000000010001241,EN,Pump Impeller 110KW SEW
000000000010001242,EN,Conveyor Pulley Bearing 150MM SKF
000000000010001243,EN,Flow Meter Sensor Head 110KW ABB
000000000010001244,EN,Thickener Rake Seal Kit TYPE B SEW
000000000010001245,EN,Apron Feeder Gear Reducer 250KW SANDVIK
000000000080000258,EN,Conveyor Drive Gearbox 8/6 ABB
000000000010001246,EN,Valve Assembly 6/4 SEW
000000000010001247,EN,Conveyor Idler Roller Set HD FLSM
000000000090000077,EN,Spherical Roller Bearing DN150 METSO
000000000010001248,EN,Cyclone Apex Liner DN150 METSO
000000000010001249,EN,MCC Feeder Circuit Breaker 250KW ABB
000000000010001250,EN,Centrifugal Pump Casing 110KW KSB
000000000080000259,EN,Mill Lube Pump Motor 55KW KSB
000000000010001251,EN,Thickener Rake Drive Gearbox 110KW KSB
000000000010001252,EN,MCC Feeder Circuit Breaker 8/6 WEIR
000000000010001253,EN,Conveyor Idler Roller Set 10/8 ABB
000000000010001254,EN,Hydraulic Pump Assembly HD MULTOTEC
000000000010001255,EN,Hydraulic Pump Assembly 250KW MULTOTEC
000000000010001256,EN,Screen Exciter Bearing TYPE B SKF
000000000030000301,EN,Conveyor Drive Gearbox 6/4 SIEMENS
000000000010001257,EN,Apron Feeder Gear Reducer 110KW
000000000010001258,EN,Mill Liner 250MM SEW
000000000090000078,EN,Slurry Pump Mechanical Seal 250MM ABB
000000000010001259,EN,Ball Mill Shell Liner Plate 6/4 WEIR
000000000010001260,EN,Flow Meter Sensor Head 6/4 ABB
000000000080000260,EN,Cyclone Apex Liner 250KW FLSM
000000000010001261,EN,Belt Scraper Blade Cartridge 55KW
000000000080000261,EN,Crusher Main Shaft Bearing 110KW SKF
000000000010001262,EN,Hydraulic Pump Assembly 6/4 SEW
000000000010001263,EN,Pressure Transmitter Assembly 110KW ABB
000000000010001264,EN,Slurry Pump Mechanical Seal 250MM SKF
000000000010001265,EN,MCC Feeder Circuit Breaker HD WEIR
000000000010001266,EN,Variable Speed Drive Unit 200MM SIEMENS
000000000010001267,EN,MCC Feeder Circuit Breaker 8/6 KSB
000000000010001268,EN,Hydraulic Pump Assembly DN150 SANDVIK
000000000080000262,EN,Flotation Cell Impeller 10/8 SKF
000000000030000302,EN,Ball Mill Shell Liner Plate 6/4 MULTOTEC
000000000010001269,EN,Pump Impeller DN100 ABB
000000000010001270,EN,Conveyor Pulley Bearing 55KW MULTOTEC
000000000030000303,EN,Variable Speed Drive Unit 55KW KSB
000000000090000079,EN,Conveyor Idler Roller Set 110KW SIEMENS
000000000010001271,EN,Gland Packing Seal Ring HD FLSM
000000000010001272,EN,Slurry Pump Wet End Assembly 55KW WEIR
000000000010001273,EN,Pump Impeller 200MM WEIR
000000000010001274,EN,Hydraulic Pump Assembly 250MM SANDVIK
000000000010001275,EN,Crusher Hydroset Cylinder 6/4 MULTOTEC
000000000010001276,EN,Slurry Pump Mechanical Seal 10/8 WEIR
000000000010001277,EN,Skirt Rubber Liner Section 200MM FLSM
000000000010001278,EN,Screen Exciter Bearing 200MM METSO
000000000010001279,EN,Screen Exciter Bearing TYPE A KSB
000000000010001280,EN,Apron Feeder Gear Reducer DN150 METSO
000000000010001281,EN,Slurry Pump Mechanical Seal 8/6 MULTOTEC
000000000090000080,EN,Slurry Pump Mechanical Seal 10/8 SEW
000000000030000304,EN,Gearbox Bearing 200MM SIEMENS
000000000080000263,EN,Conveyor Idler Roller Set HD WEIR
000000000010001282,EN,Crusher Hydroset Cylinder 250KW MULTOTEC
000000000010001283,EN,Centrifugal Pump Casing 8/6 SEW
000000000010001284,EN,Flow Meter Sensor Head DN100 WEIR
000000000010001285,EN,MCC Feeder Circuit Breaker 10/8 SEW
000000000030000305,EN,Flotation Blower Motor 6/4 KSB
000000000010001286,EN,Conveyor Pulley Bearing 10/8 KSB
000000000030000306,EN,Pressure Transmitter Assembly 110KW SKF
000000000010001287,EN,Gearbox Bearing 6/4 MULTOTEC
000000000080000264,EN,Hydraulic Pump Assembly 200MM METSO
000000000010001288,EN,Slurry Density Transmitter 150MM SKF
000000000010001289,EN,Flotation Cell Impeller DN100 SANDVIK
000000000010001290,EN,Vertical Sump Pump Column TYPE A SANDVIK
000000000010001291,EN,Apron Feeder Gear Reducer HD KSB
000000000010001292,EN,Soft Starter Power Module 110KW METSO
000000000010001293,EN,Centrifugal Pump Casing TYPE B SKF
000000000010001294,EN,Thickener Rake Seal Kit 250MM KSB
000000000010001295,EN,Ball Mill Shell Liner Plate 200MM
000000000030000307,EN,Level Radar Transmitter 55KW WEIR
000000000030000308,EN,Conveyor Drive Motor 200MM METSO
000000000010001296,EN,Pump Impeller 6/4 SIEMENS
000000000010001297,EN,Cyclone Apex Liner 55KW FLSM
000000000010001298,EN,Centrifugal Pump Casing 250MM ABB
000000000010001299,EN,Agitator Shaft Seal DN150 MULTOTEC
000000000010001300,EN,Slurry Density Transmitter DN100 ABB
000000000090000081,EN,PLC Digital Output Card 10/8 ABB
000000000010001301,EN,Slurry Pump Mechanical Seal TYPE A FLSM
000000000010001302,EN,Ball Mill Shell Liner Plate 55KW KSB
000000000030000309,EN,Soft Starter Power Module HD SEW
000000000010001303,EN,Conveyor Drive Gearbox 8/6 KSB
000000000080000265,EN,Flotation Cell Impeller DN100 MULTOTEC
000000000010001304,EN,MCC Feeder Circuit Breaker 8/6 KSB
000000000010001305,EN,Skirt Rubber Liner Section 10/8 KSB
000000000010001306,EN,Gland Packing Seal Ring TYPE B WEIR
000000000030000310,EN,Variable Speed Drive Unit 250MM SANDVIK
000000000010001307,EN,Hydraulic Power Pack HD SANDVIK
000000000080000266,EN,Thickener Rake Drive Gearbox 150MM ABB
000000000010001308,EN,Pressure Transmitter Assembly HD KSB
000000000010001309,EN,Flotation Cell Impeller DN100 ABB
000000000030000311,EN,Ventilation Fan Motor 110KW SEW
000000000010001310,EN,Pressure Transmitter Assembly 150MM ABB
000000000080000267,EN,Flotation Blower Motor 200MM SKF
000000000030000312,EN,MCC Feeder Circuit Breaker 250MM METSO
000000000010001311,EN,Conveyor Drive Gearbox 10/8 ABB
000000000010001312,EN,Ventilation Fan Motor HD MULTOTEC
000000000090000082,EN,Slurry Pump Mechanical Seal TYPE B WEIR
000000000010001313,EN,Level Radar Transmitter 250KW SKF
000000000010001314,EN,Gland Packing Seal Ring DN100 FLSM
000000000010001315,EN,Conveyor Idler Roller Set DN150 MULTOTEC
000000000090000083,EN,Thickener Rake Seal Kit 250MM MULTOTEC
000000000010001316,EN,Ball Mill Gearbox Assembly 6/4 MULTOTEC
000000000010001317,EN,PLC Digital Output Card 55KW SKF
000000000010001318,EN,Centrifugal Pump Casing DN150 METSO
000000000010001319,EN,Skirt Rubber Liner Section 55KW SEW
000000000010001320,EN,Conveyor Drive Gearbox DN100 SIEMENS
000000000010001321,EN,Soft Starter Power Module 55KW WEIR
000000000030000313,EN,Mill Liner DN100 FLSM
000000000030000314,EN,Apron Feeder Gear Reducer DN150 SIEMENS
000000000090000084,EN,PLC Digital Output Card 8/6 WEIR
000000000010001322,EN,Spherical Roller Bearing TYPE A ABB
000000000010001323,EN,Mill Lube Pump Motor HD SEW
000000000010001324,EN,Flow Meter Sensor Head 110KW METSO
000000000010001325,EN,Level Radar Transmitter 250KW MULTOTEC
000000000010001326,EN,Mill Liner 250MM FLSM
000000000010001327,EN,Crusher Hydroset Cylinder TYPE A
000000000030000315,EN,Pump Impeller 150MM FLSM
000000000010001328,EN,Valve Assembly TYPE A FLSM
000000000010001329,EN,Conveyor Pulley Bearing 250KW WEIR
000000000010001330,EN,Slurry Density Transmitter TYPE B WEIR
